5,Sienna surprise,Christy Chase ,11/06/2016,5,4,5,,,5,5,5,5,,,"I never thought I'd say I loved a minivan, but this beast has been very good to our family.  It's very comfortable to drive and to ride in. Repair issues were as expected with use or because of other lame drivers who hit us and caused cosmetic damage.  It can carry a ton of stuff - large teenage athletes, Ikea furniture, household contents when moving homes, bikes, etc. I actually don't want to sell it, but we are downsizing.",,
2,Hate this minivan.,Davis ,09/02/2015,2,3,3,,,4,1,2,4,,,"Bought this van new in 2008 and have treated it well. Initially liked it well enough, though lack of flat area on center console was very annoying.  However, even from the beginning, poor craftsmanship/materials were evident.  Things started breaking within a year.  Pieces of trim coming unglued and hanging off, buttons breaking, etc. - those little things that drive you nuts.  I had to replace the factory standard tires and battery far sooner than I should have. Cabin noise has also increased significantly since purchase.  For the past 5 years I have had a gurgling behind the steering column that no mechanic has ever been able to identify, including Toyota dealership.  Van has begun to shimmy and vibrate over 50 mph, which no mechanic has been able to fix.But more concerning is the handling in all weather that is the least bit damp.  Despite trying various types of tires, and driving well within the speed dictated by road conditions, the van has significant issues with lack of traction and hydroplaning.  Even pulling out at a light on  slightly damp roads can cause the wheels to slip.  If wet weather is bad, snow is even worse.  I have gotten to the point that I just don't drive the vehicle in inclement weather.  The only reason I have kept the van is that I only see myself needing a van for another couple years.  Once the kids are out of college you no longer need that size vehicle.  So I park it on my driveway and use it only when my Honda CRV just isn't big enough.",,
3.875,"Expensive, but worth it.",jamie_z ,10/22/2014,,,4,4,5,4,,4,4,3,3,"I purchased the 2008 Toyota Sienna Limited from Carmax with 112,000 miles on it. I've owned it now for three weeks. I'm fairly impressed.

Overall gas mileage is a tick under 20 mpg.

I'm a single guy with no kids and I drive a minivan, but I'm ok with that. This one is pretty nice and it holds a lot of stuff when I need it to. Superbly flexible and comfortable accommodations for any number of people.

It's an expensive car compared to the competition, but hopefully with the Toyota reputation, it'll last a long time.","The seating arrangement gives plenty of options, including moving the center console to the second row, moving or removing the second row seats, and of course the 60/40 third row folds down.

Lots of power options. Rear climate control. DVD player. Leather seats. 

Visibility is impressive for such a large vehicle.","I wish the A/C blower had a lower setting. At the lowest fan speed, it still blows pretty strong from the dash vents.

There's a lot of wind and road noise while driving. I didn't expect this. Perhaps quieter tires might help.

I don't like that there's no way to keep the radio information visible on the screen. When you change stations or volume, there's a little dropdown on the screen, but then it goes away to show the navigation. I want it to display the station info.

Needs second row power outlets. How did they miss that?"
3.875,Very Good...Could be better,sabadir ,09/20/2014,,,5,3,4,4,,4,4,4,3,"I bought this used in 2010 w 45K miles.  It has 119k now and is in very good shape.

Its a great and comfortable car.  It keeps me safe and gets through all the weather.  Its pretty darn comfortable too.  I feel safe in it and frankly I like it.

I have a Yakima roof rack and I added a 2"" trailer hitch to pull a small trailer.  Its perfect for me and my two kids.

",Holds everything.  Is super comfortable.,"Here are the things that kinda make me mad.
1.  Tire life sucks.  I got rid of the run flats and went to a used tire place to buy a spare that I carry on long trips.  If I get a flat in town I will have them tow me to Costco.  I bought some 90K mile Michelin Defenders at 69K.  I am having them replaced today, 40K short of their warranty.

2.  I have the NAV system.  Nothing pisses me off more than this.  I cannot enter an address manually when driving.  Neither can my passenger.  This was decided by their lawyers.

3.  The seats and back bench recline, but not to a fully flat position.  That would be awesome."
2.875,2008 Sienna. Lost trust in Toyota,kevin191 ,08/10/2014,,,4,2,2,2,,4,4,2,3,"I own a 2008 Sienna bought brand new. Currently has 114k.(71k miles) All maintenance completed as per Toyota scheduling.Recall and or Warranty history: Rear door struts, vibrating radio speaker, roof trim pulling off, 02 sensor, spare tire cable, transmission shift solenoid.Repairs I performed myself as a journeyman mechanic: water pump @90k km. Same 02 sensor they replaced on Warranty and would not cover again. Transmission input speed sensor.This van does not inspire confidence. I drive around with my obd2 scanner in the van just in case of a C.E.L.",,Toyota's quality control on this van is slack at best. Improve quality control.
3.125,Could be a lot better,graysienna ,07/30/2014,,,3,4,2,3,,4,3,3,3,"We bought this used model (2008) from the Toyota dealer with 70K on it. The price was reasonable. The interior is poor. The rear passenger air turns on and off intermittently without anyone turning on. I read a lot of similar complaints on the ToyotaSienna online forum. The dealer said it is what it is (as is condition). I tried to look up for the solution, no solution found. The seats are poor quality. The hand rest for all seats are poorly built. It is really not so convenient for the driver to use the hand rest (Right). The center console between the driver and passenger could have been made better (which I suppose is now taken care in the new model). Poor quality seat belts.",Automatic sliding doors,"Rear passenger blower, center console, seats and their respective hand rest. Above all the quality of the seat belts. Take too much of rubber (frequent new tires). Rubber seals around the door comes off very often. Needs to be built with better quality."
4.125,It's great at what it tries to do.,lenan ,10/03/2013,,,4,4,4,5,,5,5,4,2,"As far as people carrying minivans go, it really doesn't get a whole lot better than this. For one, this is a very comfortable and roomy car. The leather seats are pretty good and the ride is silky smooth. Gas mileage isn't very good (We've average about 18-19 mpg mostly on the highway), but that's the price you pay for having a large vehicle with a V6 and AWD. Speaking of the V6, it's a quality engine. It generally revs very smoothly and there's more power on tap than anyone driving a minivan needs. So far it's been quite reliable reliable. There have been no big repair costs outside of general maintenance.","It's got a surprisingly tight turning circle for such a big car, which is always nice, and on the road it feels a bit smaller than it actually is. Noise is fairly minimal, and as I mentioned the engine and ride leave little to be desired.","The steering and handling in general is incredibly numb and boring, as one would expect from Toyota's electric steering system - it's obviously not supposed to be a sports car, but the Odyssey does manage to be surprisingly fun. The transmission is okay but it takes its sweet time choosing gears. Fit and finish in a few areas is iffy- there are some various plastic pieces that like to come loose and the occasional rattling that comes and goes, not to mention the glovebox doesn't always like to stay closed."
4.25,"Love the car, not the service",aramf ,02/26/2013,,,4,4,4,4,,5,5,4,4,"We are a family of 5 and really love having this van.The mpg is great, the accelation and breaks are great and driving it is just like driving a sedan.We love this car.THe issue we don't like is that this car has cold start rattling issue.And a lot of people complaing about it, yet Toyota dealers for the most part say it is a normal noise.The possible culprits for that are lifter problems, upper engine oil seal that keep the oil from draining into the bottom pan and variable valve timing oil hose. Basically the valves are not lubricated at cold start and that's what causes the noise.Still dealing with toyota to resolve this.The car wa hardy 37000 miles when the problem started.",steering wheel radio controls,I am 6 foot tall and I cannot see the upper part of the speedometer over the top of the steering wheel.
3.875,AC line corrosion,8isenuf ,07/19/2012,,,5,4,3,3,,4,4,4,4,"Love this van, like the design much better than the new one....but....we had our AC line replaced under warranty last summer, this summer we find that 3 other lines are also needing replacement due to corrosion...Toyota and the dealers offered us 50% shared cost for repairs, but, this should not be happening. The cost to us is still $1900.00, and, we are wondering if this will be an annual cost to keep the air in our vehicle?Toyota Canada stated this is not an issue with the Sienna and there is no recall or fix for this issue...","Love the 8passenger seating , smooth drive","Do a fix for the AC line corrosion issue, no way a 3 year old 52,000km vehicle should need $4000.00 repair to corroded lines, apparently the lines are connected behind a rear wheel well... A fix needs to happen for this"
2.75,"Bad Rear A/C line, low quality tire, and bad rear most mirror molding",nk_17 ,07/07/2012,,,3,3,1,3,,3,3,3,3,"Bought Toyota Sienna 2008. Today is July 6, 2012. About ~4.25 year and 39000 miles, and facing following problems already:1) Rear A/C line leaks. Dealer said it was due to rust after leak test. Then I request to see myself and saw oily residue on rear passenger side tire area. No rust at all. Dealer said, originally, line will have to be replaced. Then I think he had a slip of tounge and said leaky o-ring. Whatever it is. The cost to repair is $900. I went ahead with the repair since dealer (Elmhurst Toyota, IL -chicago area) scared me that it could damage the compressor if oil keep leaking.2) both sides vent window molding falling $85 each to repair3) original tires lasted only 30k.","continuing list of problems,

4) CD changer was not rotating was stuck before 3yr warranty so they fix that for free

5) Believe head lights are not bright enough and has dark sides - cant see in dark if you are camping when turning

6) Tire holding wire was recalled and the spare is below the van - imagine removing from below in Chicago winter particularly when there is snow on roads

7) All windows have this marking. I am thinking it is rubber molding melting on the window glass when window is closed. 

Very disappoint experience with Toyota. ","-Toyota need to stay up with their quality also not just selling more cars
-Toyota should recall this rear AC lines problem. Have seen many complain on internet regarding this."
